Departamento,Municipio,IPS,NIT,Gerente,Caracter,Habilitada
Antioquia,CAMPAMENTO,ESE HOSPITAL LA SAGRADA FAMILIA,890985457,BLANCA OFELIA ARANGO VERGARA,MUNICIPAL,SI
Antioquia,CAÑASGORDAS,ESE HOSPITAL SAN CARLOS,890980784,TOMAS AUGUSTO OSPINA ROJO,MUNICIPAL,SI
Antioquia,CARACOLÍ,E.S.E. HOSPITAL SAN PIO X,890981266,GERARDO ANTONIO PESCADOR DAVID,MUNICIPAL,SI
Antioquia,CARAMANTA,ESE HOSPITAL SAN ANTONIO,890981163,FRANCISCO JAVIER GODOY GONZALEZ,MUNICIPAL,SI
Antioquia,CAREPA,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ,800227877,RICARDO LUIS ARZUZA MENDOZA,MUNICIPAL,SI
Antioquia,CAROLINA,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,890906344,VICTOR JAVIER PUERTA DÍAZ,MUNICIPAL,SI
Antioquia,CAUCASIA,ESE HOSPITAL CESAR URIBE PIEDRAHITA,890980757,ORLANDO JOSE RODRIGUEZ ALVAREZ,DEPARTAMENTAL,SI
Antioquia,CHIGORODÓ,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA,890980997,DORIS EDILIA MEDINA OCHOA,MUNICIPAL,SI
Antioquia,CISNEROS,Empresa Social del Estado Hospital San Antonio,890980444,CLAUDIA LUCIA BARRERA AGUDELO,MUNICIPAL,SI
Antioquia,CIUDAD BOLÍVAR,ESE HOSPITAL LA MERCED,890907241,MAURICIO ANTONIO TORO ZAPATA,MUNICIPAL,SI
Antioquia,COCORNÁ,ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA,890981108,HECTOR ALONSO DUQUE ARISTIZABAL,MUNICIPAL,SI
Antioquia,CONCEPCIÓN,ESE HOSPITAL JOSE MARIA CORDOBA,890980512,BERNARDO ANTONIO BERNAL BOTERO,MUNICIPAL,SI
Antioquia,CONCORDIA,ESE HOSPITAL SAN JUAN DE DIOS,890907297,SANTIAGO DE JESÚS CAICEDO RESTREPO,MUNICIPAL,SI
Antioquia,COPACABANA,ESE HOSPITAL SANTA MARGARITA,890980949,HÉCTOR DARÍO CANO ARANGO,MUNICIPAL,SI
Antioquia,DABEIBA,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO,890984670,ANDREY FERNANDO DUQUE VALLE,MUNICIPAL,SI
Antioquia,DON MATÍAS,ESE HOSPITAL FRANCISCO ELADIO BARRERA,890905097,BEATRIZ ADIELA RESTREPO TAMAYO,MUNICIPAL,SI
Antioquia,EBÉJICO,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,890982370,RAFAEL ANTONIO GRANDA PEREZ,MUNICIPAL,SI
Antioquia,EL BAGRE,EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN,800138311,LEONARDO FONTALVO TAPIA,MUNICIPAL,SI
Antioquia,EL CARMEN DE VIBORAL,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,890907279,SANDRA ELIZABET URIBE VELEZ,MUNICIPAL,SI
Antioquia,EL SANTUARIO,ESE HOSPITAL SAN JUAN DE DIOS,890980326,ALEX DUBIAN GIRALDO CANO,MUNICIPAL,SI
Antioquia,ENTRERRIOS,ESE HOSPITAL PRESBITERO EMIGDIO PALACIO,890984779,ELIANA PATRICIA PALACIO TOBON,MUNICIPAL,SI
Antioquia,ENVIGADO,E.S.E. HOSPITAL MANUEL URIBE ANGEL,890906347,MARTHA LUCIA VELEZ ARANGO,MUNICIPAL,SI
Antioquia,ENVIGADO,INDER ENVIGADO,811016337,GUDIELA RESTREPO URIBE,MUNICIPAL,SI
Antioquia,ENVIGADO,INSTITUCION UNIVERSITARIA DE ENVIGADO,811000278,BLANCA LIBIA LONDOÑO ECHEVERRI,MUNICIPAL,SI
Antioquia,FREDONIA,ESE HOSPITAL DE SANTA LUCIA,890980181,GABRIEL JAIME BETANCUR DUQUE,MUNICIPAL,SI
Antioquia,FRONTINO,EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE,890906991,ALEX FERNANDO ALEGRIA GARCÍA,MUNICIPAL,SI
Antioquia,GIRALDO,ESE HOSPITAL SAN ISIDRO,800193392,CARLOS ALBERTO CARDONA GUTIERREZ,MUNICIPAL,SI
Antioquia,GIRARDOTA,ESE HOSPITAL SAN RAFAEL,890980727,DIEGO ALFONSO MONTOYA GRAJALES,MUNICIPAL,SI
Antioquia,GÓMEZ PLATA,ESE HOSPITAL SANTA ISABEL,890902151,LAURA CATALINA ROJO GONZALEZ,MUNICIPAL,SI
Antioquia,GRANADA,ESE HOSPITAL PADRE CLEMENTE GIRALDO,890981182,VICTOR RAUL HOYOS HOYOS,MUNICIPAL,SI
Antioquia,GUADALUPE,ESE HOSPITAL NUESTRA SEÑORA DE GUADALUPE,890981690,ORLANDO ANTONIO BARRIENTOS LOPERA,MUNICIPAL,SI
Antioquia,GUARNE,ESE HOSPITAL NUESTRA SEÑORA DE LA CANDELARIA,890981719,ASTRID BIBIANA CARVAJAL ZAPATA,MUNICIPAL,SI
Antioquia,GUATAPE,ESE HOSPITAL LA INMACULADA,890981817,EDUARDO RIVERA ARCILA,MUNICIPAL,SI
Antioquia,HELICONIA,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL,890981074,LUIS CRISTOBAL YANEZ LOZANO,MUNICIPAL,SI
Antioquia,HISPANIA,ESE HOSPITAL SAN JUAN DEL SUROESTE,800068653,PLINIO RAFAEL RECUERO JIMENEZ,MUNICIPAL,SI
Antioquia,ITAGUI,"CORPORACIÓN RED PRESTADORA DE SERVICIOS DE SALUD DEL VALLE DE ABURRÁ ""HOSPIRED""",900646450,LUIS FERNANDO VARGAS ALVAREZ,DEPARTAMENTAL,SI
Antioquia,ITAGUI,ESE HOSPITAL DEL SUR GABRIEL JARAMILLO PIEDRAHITA,811017810,OSCAR FERNANDO JIMENEZ LOPEZ,MUNICIPAL,SI
Antioquia,ITAGUI,ESE HOSPITAL SAN RAFAEL-ITAGUI,890980066,CARLOS FREDY CARMONA RAMIREZ,DEPARTAMENTAL,SI
Antioquia,ITUANGO,ESE HOSPITAL SAN JUAN DE DIOS,890980840,LUIS OCTAVIO GUTIERREZ MONTES,MUNICIPAL,SI
Antioquia,JARDÍN,ESE HOSPITAL GABRIEL PELAEZ MONTOYA,890980732,JOSÉ ANDRÉS HURTADO ARISTIZÁBAL,MUNICIPAL,SI
Antioquia,JERICÓ,NUEVA ESE HOSPITAL SAN RAFAEL JERICO,890980765,ADRIANA MARIA BERMÚDEZ CARDONA,MUNICIPAL,SI
Antioquia,LA CEJA,ESE HOSPITAL DE LA CEJA,890980758,José Ricardo Ordoñez Hernández,MUNICIPAL,SI
Antioquia,LA ESTRELLA,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,800138968,CAMILO ALFONSO GONZALEZ LAGUNA,MUNICIPAL,SI
Antioquia,LA PINTADA,EMPRESA SOCIAL DEL ESTADO HOSPITAL ANTONIO ROLDAN BETANCUR,811013792,VIRGINIA ESPERANZA RENTERIA LEDEZMA,MUNICIPAL,SI
Antioquia,LA UNIÓN,ESE HOSPITAL SAN ROQUE,890980866,ROBINSON RAFAEL TOVAR SOLANO,MUNICIPAL,SI
Antioquia,LIBORINA,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN LORENZO,890982139,CLAUDIA MARIA CALDERON RUEDA,MUNICIPAL,SI
Antioquia,MACEO,EMPRESA SOCIAL DEL ESTADO MARCO A. CARDONA,890906966,CAROLINA ANDREA SOSA GOMEZ,MUNICIPAL,SI
Antioquia,MARINILLA,ESE HOSPITAL SAN JUAN DE DIOS,890980752,EDWIN ABAD QUICENO MARÍN,MUNICIPAL,SI
Antioquia,MEDELLÍN,DEFENSA CIVIL COLOMBIANA,899999717,MIGUEL ERNESTO PEREZ GUARNIZO,NACIONAL,SI
Antioquia,MEDELLÍN,Departamento de Antioquia,890900286,SERGIO FAJARDO VALDERRAMA,DEPARTAMENTAL,SI
Antioquia,MEDELLÍN,EMPRESA SOCIAL DEL ESTADO METROSALUD,800058016,LEOPOLDO ABDIEL GIRALDO VELASQUEZ,MUNICIPAL,SI
Antioquia,MEDELLÍN,EMPRESAS PÚBLICAS DE MEDELLÍN E.S.P.,890904996,Jorge Alberto Julian Londoño De la cuesta,MUNICIPAL,SI
Antioquia,MEDELLÍN,ESE HOSPITAL CARISMA,890985405,CARLOS MARIO RIVERA ESCOBAR,DEPARTAMENTAL,SI
Antioquia,MEDELLÍN,ESE HOSPITAL LA MARIA,890905177,MISAEL ALBERTO CADAVID JARAMILLO,DEPARTAMENTAL,SI
Antioquia,MEDELLÍN,"HOSPITAL GENERAL DE MEDELLIN LUZ CASTRO DE GUTIERREZ, EMPRESA SOCIAL DEL ESTADO",890904646,,MUNICIPAL,SI
Antioquia,MEDELLÍN,INDEPORTES ANTIOQUIA,811007127,HERNAN DARIO ELEJALDE LOPEZ,DEPARTAMENTAL,SI
Antioquia,MEDELLÍN,INSTITUTO TECNOLOGICO METROPOLITANO,800214750,Maria Victoria Mejia Orozco,MUNICIPAL,SI
Antioquia,MEDELLÍN,POLITECNICO COLOMBIANO JAIME ISAZA CADAVID CENTRO DE ATENCION EN SALUD Y RIESGOS PROFESIONALES,890980136,GILBERTO GIRALDO BUITRAGO,DEPARTAMENTAL,SI
Antioquia,MEDELLÍN,Servicio Nacional de Aprendizaje SENA,899999034,CARLOS FABIO ALVAREZ ANGEL,NACIONAL,SI
Antioquia,MEDELLÍN,TECNOLÓGICO DE ANTIOQUIA - INSTITUCIÓN UNIVERSITARIA-.,890905419,LORENZO PORTOCARRERO SIERRA,DEPARTAMENTAL,SI
Antioquia,MEDELLÍN,UNIVERSIDAD DE ANTIOQUIA,890980040,MAURICIO ALVIAR RAMIREZ,DEPARTAMENTAL,SI
Antioquia,MEDELLÍN,UNIVERSIDAD NACIONAL DE COLOMBIA,899999063,IGNACIO MANTILLA PRADA,MUNICIPAL,SI
Antioquia,MONTEBELLO,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,890981096,CARLOS JULIO MAZO OSPINA,MUNICIPAL,SI
Antioquia,MURINDÓ,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN BARTOLOMÉ,800165050,Diver Arley Lopera Castaño,MUNICIPAL,SI
Antioquia,MUTATÁ,ESE HOSPITAL LA ANUNCIACION,890981268,JAIME ANDRES HERRERA MOLINA,MUNICIPAL,SI
Antioquia,NARIÑO,ESE HOSPITAL SAN JOAQUIN NARIÑO ANTIOQUIA,890981652,MARIA ESTELA ACUÑA TERAN,MUNICIPAL,SI
Antioquia,NECHÍ,ESE HOSPITAL LA MISERICORDIA,800138011,ARGELIA MARIA JULIO VERGARA,MUNICIPAL,SI
Antioquia,NECOCLÍ,ESE HOSPITAL SAN SEBASTIAN DE URABA,890985603,WILDER MANUEL PEÑAFIEL ARIAS,MUNICIPAL,SI
Antioquia,OLAYA,E.S.E HOSPITAL SAN MIGUEL,800202398,VERONICA CORDOBA JARAMILLO,MUNICIPAL,SI
Antioquia,PEÑOL,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,890980486,MARIO ALEJANDRO CADAVID CADAVID,MUNICIPAL,SI
Antioquia,PEQUE,ESE HOSPITAL SAN FRANCISCO,890983675,SAMUEL DARLEY USUGA POSSO,MUNICIPAL,SI
Antioquia,PUEBLORRICO,ESE HOSPITAL SAN VICENTE DE PAUL,890981532,RAUL ALCIDES OSORIO BUSTAMANTE,MUNICIPAL,SI
Antioquia,PUERTO NARE,EMPRESA SOCIAL DEL ESTADO HOSPITAL OCTAVIO OLIVARES,890985810,DORIA LEDY RUFELES TORO,MUNICIPAL,SI
Antioquia,REMEDIOS,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN VICENTE DE PAUL,890985092,PEDRO GABRIEL MENDIVIL SUAREZ,MUNICIPAL,SI
Antioquia,RIONEGRO,HOSPITAL SAN JUAN DE DIOS E.S.E RIONEGRO - ANTIOQUIA,890907254,LUIS MARIA OTALVARO SANCHEZ,MUNICIPAL,SI
Antioquia,SABANALARGA,ESE HOSPITAL SAN PEDRO,890982140,RAFAEL ANGEL QUINTERO,MUNICIPAL,SI
Antioquia,SABANETA,ESE HOSPITAL VENANCIO DIAZ DIAZ,800123106,RUBEN DARIO CANO TORRES,MUNICIPAL,SI
Antioquia,SALGAR,ESE HOSPITAL SAN JOSE,890981424,JAIME ALBERTO VELEZ ESCOBAR,MUNICIPAL,SI
Antioquia,SAN ANDRÉS,EMPRESA SOCIAL DEL ESTADO HOSPITAL GUSTAVO GONZALEZ OCHOA,890982113,AURA MARIA VASCO OSPINA,MUNICIPAL,SI
Antioquia,SAN CARLOS,ESE HOSPITAL SAN VICENTE DE PAUL,890981561,Paula Andrea González León,MUNICIPAL,SI
Antioquia,SAN FRANCISCO,ESE HOSPITAL SAN FRANCISCO DE ASIS,800133887,ELIZABETH VANESSA SUÁREZ GARCÍA,MUNICIPAL,SI
Antioquia,SAN JERÓNIMO,ESE HOSPITAL SAN LUIS BELTRAN,890981848,JUAN DAVID RODRIGUEZ QUIJANO,MUNICIPAL,SI
Antioquia,SAN JOSÉ DE LA MONTAÑA,ESE HOSPITAL LAUREANO PINO,890984427,CLAUDIA MARYORI RESTREPO OSSA,MUNICIPAL,SI
Antioquia,SAN JUAN DE URABÁ,ESE HOSPITAL HECTOR ABAD GOMEZ,800143438,MARCELA PATRICIA YANEZ PAYAREZ,MUNICIPAL,SI
Antioquia,SAN LUIS,ESE HOSPITAL SAN RAFAEL,890982091,MARGARITA MARIA MONSALVE LONDOÑO,MUNICIPAL,SI
Antioquia,SAN PEDRO,ESE HOSPITAL SANTA ISABEL,800014405,OSCAR HERNÁN OCAMPO VALENCIA,MUNICIPAL,SI
Antioquia,SAN PEDRO DE URABA,ESE HOSPITAL OSCAR EMIRO VERGARA CRUZ,890985660,JAMES JAIR CORREA ALFARO,MUNICIPAL,SI
Antioquia,SAN RAFAEL,ESE HOSPITAL PBRO ALONSO MARIA GIRALDO,891982128,JOSE ALEJANDRO JARAMILLO ACOSTA,MUNICIPAL,SI
Antioquia,SAN ROQUE,E.S.E. HOSPITAL MUNICIPAL SAN ROQUE,890906211,JORGE ALBERTO MIRA BUSTAMANTE,MUNICIPAL,SI
Antioquia,SANTA BÁRBARA,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTAMARIA,890905198,JORGE IVAN VALENCIA BEDOYA,MUNICIPAL,SI
Antioquia,SANTAFÉ DE ANTIOQUIA,ESE HOSPITAL SAN JUAN DE DIOS,890982264,JEAN CARLO DAVID VANEGAS RODRIGUEZ,MUNICIPAL,SI
Antioquia,SANTO DOMINGO,ESE HOSPITAL SAN RAFAEL DE SANTO DOMINGO,890906560,LUZ GABRIELA RIVERA CANO,MUNICIPAL,SI
Antioquia,SEGOVIA,ESE HOSPITAL SAN JUAN DE DIOS,800080586,ANGELICA MARÍA RENDON CASTAÑEDA,MUNICIPAL,SI
Antioquia,SONSON,EMPRESA SOCIAL DEL ESTADO SAN JUAN DE DIOS,890980003,JUAN DE JESÚS ARROYAVE OCAMPO,MUNICIPAL,SI
Antioquia,SOPETRÁN,EMPRESA SOCIAL DEL ESTADO HORACIO MUÑOZ SUESCUN,890982184,MARIO URIEL SERNA CORREA,MUNICIPAL,SI
Antioquia,TÁMESIS,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS,890980855,ALVARO GIRALDO VASQUEZ,MUNICIPAL,SI
Antioquia,TARAZÁ,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO,890984696,,MUNICIPAL,SI
Antioquia,TARSO,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN PABLO,890982182,MARITZA CORRALES GALLEGO,MUNICIPAL,SI
Antioquia,TITIRIBÍ,ESE HOSPITAL SAN JUAN DE DIOS,890980346,JHON JAIME CORREA SEPULVEDA,MUNICIPAL,SI
Antioquia,TOLEDO,E.S.E. HOSPITAL PEDRO CLAVER AGUIRRE YEPES,800139704,CARLOS ALBERTO CARDONA GUTIÉRREZ,MUNICIPAL,SI
Antioquia,TURBO,EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO VALDERRAMA,890981137,FRANCIA POO MADERA,MUNICIPAL,SI
Antioquia,URAMITA,EMPRESA SOCIAL DEL ESTADO HOSPITAL TOBIAS PUERTA,800065395,MARIA CONSUELO DIAZ PUERTA,MUNICIPAL,SI
Antioquia,URRAO,EMPRESA SOCIAL DEL ESTADO IVAN RESTREPO GOMEZ,890980971,KENIER ALEXANDER REYES DURANGO,MUNICIPAL,SI
Antioquia,VALDIVIA,E.S.E HOSPITAL SAN JUAN DE DIOS VALDIVIA,891982129,JOAQUIN ALBERTO ALVAREZ MONSALVE,MUNICIPAL,SI
Antioquia,VALPARAÍSO,ESE HOSPITAL SAN JUAN DIOS,890980828,JEFFERSON DUVAN GIRALDO LOPEZ,MUNICIPAL,SI
Antioquia,VEGACHÍ,ESE HOSPITAL SAN CAMILO DE LELIS,800114286,LUIS HERNAN SANCHEZ MONTOYA,MUNICIPAL,SI
Antioquia,VENECIA,ESE HOSPITAL SAN RAFAEL,890980367,JUAN DAVID VELASQUEZ RESTREPO,MUNICIPAL,SI
Antioquia,VIGÍA DEL FUERTE,EMPRESA SOCIAL DEL ESTADO HOSPITAL ATRATO MEDIO ANTIOQUEÑO,811020943,GRACELIANO ARROYO CUESTA,MUNICIPAL,SI
Antioquia,YALÍ,ESE HOSPITAL LA MISERICORDIA,890982162,JUAN CARLOS RICO VINASCO,MUNICIPAL,SI
Antioquia,YARUMAL,ESE HOSPITAL SAN JUAN DE DIOS YARUMAL,890981726,DORIAN DUVERLY PULGARIN RAMIREZ,MUNICIPAL,SI
Antioquia,YOLOMBÓ,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL DE YOLOMBO,890981536,GUILLERMO ALONSO ESTRADA GONZÁLEZ,MUNICIPAL,SI
Antioquia,YONDÓ,ESE Hospital Héctor Abad Gómez,800014884,CESAR AGUSTO PARDO ROSAS,MUNICIPAL,SI
Arauca,ARAUCA,DIRECCION DE SANIDAD POLICIA NACIONAL,830041314,OSCAR ATEHORTUA DUQUE,NACIONAL,SI
Arauca,ARAUCA,EMPRESA SOCIAL DEL ESTADO JAIME ALVARADO Y CASTILLA,834001482,ALDRIN HELI RODRIGUEZ LUNA,MUNICIPAL,SI
Arauca,ARAUCA,ESE HOSPITAL SAN VICENTE DE ARAUCA,800218979,RAUL FERNANDO GARCIA LOYO,DEPARTAMENTAL,SI
Arauca,ARAUQUITA,DEFENSA CIVIL COLOMBIANA,899999717,MIGUEL ERNESTO PEREZ GUARNIZO,NACIONAL,SI
Arauca,SARAVENA,HOSPITAL DEL SARARE ESE,800231215,NESTOR BASTIANELLI RAMIREZ,DEPARTAMENTAL,SI
Arauca,TAME,ESE MORENO Y CLAVIJO,900034131,JOSE VICENTE SANABRIA MONSALVE,DEPARTAMENTAL,SI
Atlántico,BARANOA,EMPRESA SOCIAL DEL ESTADO HOSPITAL DE BARANOA,890103002,PEDRO LUIS ARAUJO ZARATE,MUNICIPAL,SI
Atlántico,BARRANQUILLA,DEFENSA CIVIL COLOMBIANA SECCIONAL ATLANTICO,899999717,MIGUEL ERNESTO PEREZ GUARNIZO,NACIONAL,SI
Atlántico,BARRANQUILLA,EMPRESA SOCIAL DEL ESTADO HOSPITAL NIÑO JESUS DE BARRANQUILLA,802006728,Adolfo Villalobos Pineda,DEPARTAMENTAL,SI
Atlántico,BARRANQUILLA,HOSPITAL UNIVERSITARIO C.A.R.I. E.S.E.,800253167,ROCÍO DEL CARMEN GAMARRA PEÑA,DEPARTAMENTAL,SI
Atlántico,BARRANQUILLA,Servicio Nacional de Aprendizaje SENA,899999034,CARLOS FABIO ALVAREZ ANGEL,NACIONAL,SI
Atlántico,CAMPO DE LA CRUZ,EMPRESA SOCIAL DEL ESTADO HOSPITAL DE CAMPO DE LA CRUZ,900017892,CARLOS JULIO DE LEON POLO,MUNICIPAL,SI
Atlántico,CANDELARIA,ESE HOSPITAL DE CANDELARIA,802010301,RENE RUEDA RIBON,MUNICIPAL,SI
Atlántico,GALAPA,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE GALAPA,802007798,CELIA CRUZ TORRES SUAREZ,MUNICIPAL,SI
Atlántico,JUAN DE ACOSTA,EMPRESA SOCIAL DEL ESTADO HOSPITAL DE JUAN DE ACOSTA,802003414,EDELBERTO MANUEL ECHEVERRIA ARTETA,MUNICIPAL,SI
Atlántico,LURUACO,ESE HOSPITAL LOCAL DE LURUACO,890103025,MAIRA ALEJANDRA HERNANDEZ OSORIO,MUNICIPAL,SI
Atlántico,MALAMBO,EMPRESA SOCIAL DEL ESTADO HOSPITAL DE MALAMBO,802009806,Juan Esteban Sanchez Paez,MUNICIPAL,SI
Atlántico,MANATÍ,HOSPITAL DE MANATI ESE,802010401,VERA GUERRERO ESCOBAR,MUNICIPAL,SI
Atlántico,PALMAR DE VARELA,ESE CENTRO DE SALUD CON CAMAS DE PALMAR DE VARELA,802006267,LIGIA MARIA MANOTAS BERDUGO,MUNICIPAL,SI
Atlántico,PIOJÓ,HOSPITAL VERA JUDITH IMITOLA VLLANUEVA E.S.E,802007650,SONIA MARGARITA VILLANUEVA NIETO,MUNICIPAL,SI
Atlántico,POLONUEVO,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD DE POLONUEVO,802004549,LOURDES SIERRA UPARELA,MUNICIPAL,SI
Atlántico,PONEDERA,EMPRESA SOCIAL DEL ESTADO HOSPITAL DE PONEDERA,802009195,MALENA PALACIO BLANCO,MUNICIPAL,SI
Atlántico,PUERTO COLOMBIA,ESE HOSPITAL DE PUERTO COLOMBIA,890103406,ALICIA ELVIRA RUEDA RAMIREZ,MUNICIPAL,SI
Atlántico,REPELÓN,EMPRESA SOCIAL DEL ESTADO HOSPITAL DE REPELON,802001292,JORGE ELIECER JIMENEZ MESINO,MUNICIPAL,SI
Atlántico,SABANAGRANDE,E.S.E. HOSPITAL MUNICIPAL DE SABANAGRANDE,802003081,CELIA INES MARENCO SARMIENTO,MUNICIPAL,SI
Atlántico,SABANALARGA,ESE CENTRO MATERNO INFANTIL DE SABANALARGA,802010241,ONERYS MARIA ILIAS MELGAREJO,MUNICIPAL,SI
Atlántico,SABANALARGA,ESE HOSPITAL DEPARTAMENTAL DE SABANALARGA,890103127,MARIA INMACULADA JOYA CARO,DEPARTAMENTAL,SI
Atlántico,SANTA LUCÍA,E.S.E. CENTRO DE SALUD DE SANTA LUCIA,802006991,KAREN MAREGARITA REALES OROZCO,MUNICIPAL,SI
Atlántico,SANTO TOMÁS,ESE HOSPITAL DE SANTO TOMAS,800174123,DIANA CECILIA DE LA HOZ PERTUZ,MUNICIPAL,SI
