Tipo,Pregunta,Respuestas,Ayuda,Adjuntar
input,Indique el número de personas empleadas que utilizan al menos una vez por semana una computadora (de escritorio portátil tableta u otros dispositivos),Profesionales de salud;Profesionales no afines a salud;Técnicos de salud;Técnicos no afines a salud;Otros,Ayuda,NO
input,¿La institución cuenta con acceso a internet?,SI;NO,Ayuda,SI
text,Responda a las preguntas 19 a  29 sólo si su institución cuenta con acceso a internet,,,
radio,¿Cuáles de los siguientes tipos de conexión a internet utilizó la institución en los últimos 12 meses? ,Acceso discado o conexión discada vía teléfono;Conexión ADSL;Conexión vía fibra óptica 1 2 98 99;Conexión vía satélite;Conexión Móvil o modem 3G,Ayuda,SI
radio,Su conexión es financiada por:,Conexión pagada por la institución;Conexión subsidiada por el ministerio MinTIC;Otro,Ayuda,SI
radio,Indique el ancho de banda de la red de internet de la institución,Menos de 256 Kbps;Entre 256 Kbps y 2 Mbps;Entre 2 Mbps y 10 Mbps;10 Mbps o más,Ayuda,SI
radio,¿La Institución cuenta con una red LAN?,SI;NO,Ayuda,SI
input,¿Cuántos puntos de red LAN tiene la institución?,Cuantos,Ayuda,SI
radio,¿Cuál es  la capa de centro de conexión de la red LAN?,Capa 2 (Switch);Capa 3 (Swich + Enrutador);Capa 4 (Capa 3 + Filtros),Ayuda,SI
radio,¿Cuál es la categoría de cableado red LAN?,Categoría 5E;Categoría 6;Categoría 7,Ayuda,SI
radio,¿Cuál es la velocidad de Conexión de la red LAN?,10 Mbps;10/100 Mbps;10/100/1000 Mbps;Más de 1 Gbps,Ayuda,SI
radio,¿La institución cuenta con redes inalámbricas?,SI;NO,Ayuda,SI
radio,¿Cuál es el protocolo de seguridad de la red inalámbrica?,Libre;WEP;WPA;WPA2;Portal Cautivo,Ayuda,SI
radio,La cobertura de la red inalámbrica en la institución es:,Total;Zonal,Ayuda,SI
radio,¿La institución cuenta con soporte electrónico ininterrumpido-UPS?,SI;NO,Ayuda,SI
radio,¿La institución cuenta con planta eléctrica?,SI;NO,Ayuda,SI
radio,¿La institución tiene polo/malla a tierra?,SI;NO,Ayuda,SI
radio,¿La institución cuenta con pararrayos?,SI;NO,Ayuda,SI
radio,"En promedio, ¿cuántos cortes de energía eléctrica al mes tiene la institución?",1 a 5;6 a 10;11 a 15;16 a 20;21 a 30;Más de 31,Ayuda,SI
input,"En promedio, ¿cuánto es el consumo eléctrico de la institución al mes en Kwh?",Cantidad,Ayuda,SI
radio,¿La Institución cuenta con página o sitio web?,SI;NO,Ayuda,SI
checkbox,¿Qué tipo de cosas se pueden hacer desde la página o sitio web?,Leer información de la institución incluyendo los médicos y los horarios;El usuario puede hacer reserva de horas con médicos;El usuario puede ver alguna parte de su Historia clinica;El usuario puede ver toda su Historia Clínica,Ayuda,SI
radio,"¿En los próximos 12 meses, esta institución tiene intención de crear o modificar las prestaciones de su sitio web? ",SI;NO,Ayuda,NO
checkbox,¿Cuáles de los siguientes servicios están disponible en esta institución?,Educación a distancia en salud;Actividades de investigación a distancia;Interacción en tiempo real (teleconferencia) ;Interacción que no sea en tiempo real (vía correo electrónico – email);Monitoreo de pacientes a distancia,Ayuda,SI
radio,¿La institución dispone de equipamientos para la realización de teleconferencias? (Considerar videoconferencias y conferencias web),SI;NO,Ayuda,SI
radio,¿La institución de salud presta servicios de telemedicina?,SI;NO,Ayuda,SI
checkbox,¿Cuáles de los siguientes servicios de Telemedicina provee su institución? ,Radiología;Patología;Dermatología;Psiquiatría;Cardiología;Ultrasonografía;Mamografía;Cirugía;Consulta;Oftalmología;Nefrología;Obstetricia/Ginecología;Diabetes;Monitoreo de pacientes;Pediatría;Cuidados en el hogar;Neurología;Neurocirugía;Tratamiento de accidente cardiovascular;Urología;Oncología;Otorrinolaringología;Otro,Ayuda,SI
radio,¿La institución ha implementado los lineamientos de la Estrategia de Gobierno En Línea para sitios web?,SI;NO,Ayuda,SI
