CÓDIGO,NOMBRE,NIT,RAZÓN SOCIAL,NIVEL DE ATENCIÓN,GERENTE,DIRECCION,BARRIO,MUNICIPIO,DEPARTAMENTO,TELEFONO,E-MAIL EMPRESARIAL,E-MAIL 2 EMPRESARIAL,NOMBRE DEL REPRESENTANTE LEGAL,E-MAIL REPRESENTANTE LEGAL,E-MAIL REPRESENTANTE LEGAL,TELEFONO REPRESENTANTE LEGAL,NOMBRE PERSONA ENCARGADA DE TECNOLOGIA,EMAIL PERSONA ENCARGADA DE TECNOLOGIA,TELEFONO PERSONA ENCARGADA DE TECNOLOGIA
584206431,EMPRESA SOCIAL DEL ESTADO HOSPITAL TOBIAS PUERTA,800065395,EMPRESA SOCIAL DEL ESTADO HOSPITAL TOBIAS PUERTA,1,JOSE GILDARDO CHICA MONTOYA,CALLE 20 # 22 170 ,EL TOTUMO,URAMITA,ANTIOQUIA,8574048,uramhs01@edatel.net.co,,MARIA CONSUELO DIAZ PUERTA ,uramhs01@edatel.net.co,,3146011126,MARIA CONSUELO DIAZ PUERTA ,uramhs01@edatel.net.co,3146011126
4487400347,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTO TOMAS,800075650,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTO TOMAS,1,HAROLD ZAMBRANO PINTO,CALLE 14 # 13-27,LAS DELICIAS,VILLANUEVA,LA GUAJIRA,7772051-3174377864,HOSTOMAS@HOTMAIL.COM,,DARIO FABRICIO JOSE MARTINEZ FERREIRA,HOSTOMAS@HOTMAIL.COM,,3174377864,ZAVIER BAQUERO,ZABADA15@HOTMAIL.COM,3174377864
585806294,ESE HOSPITAL SAN CAMILO DE LELIS,800114286,E.S.E. HOSPITAL SAN CAMILO DE LELIS,1,DORIS AIDA RESTREPO GONZALEZ,CALLE 49 # 40-209,ANTIOQUIA,VEGACHÍ,ANTIOQUIA,8305122-8305698-8305474,COMUNICACIONESHSCL@GMAIL.COM,,LUIS HERNAN SANCHEZ MONTOYA,GERENCIAHOSPITALVEGACHI@GMAIL.COM,,8305122 EXT 104,LUIS GUILLERMO VALENCIA GOMEZ,SISTEMASHOPITALVEGACHI@GMAIL.COM,8305122 EXT 117
7340800729,HOSPITAL ESPECIALIZADO GRANJA INTEGRAL E.S.E LERIDA TOLIMA,800116719,HOSPITAL ESPECIALIZADO GRANJA INTEGRAL E.S.E LERIDA TOLIMA,2,,KILOMETRO 1 VIA EL IGUASITO ,,LÉRIDA,TOLIMA,3107685086-2890803-2890526,ventanillaunica@psiquiatricocali.gov.co,,CLAUDIA AMPARO MEDINA SALAZAR,gerencia@hegranjalerida.org,,2890526 EXT 108,MARTHA LUCIA PEÑA MOYA,sistemas@hegranjalerida.org,2890526 EXT 132
5200100441,UNIVERSIDAD DE NARIÑO,800118954,UNIVERSIDAD DE NARIÑO,0,,CALLE 18 # 50 - 2,CIUDAD UNIVERSITARIA RTOROBAJO,PASTO,NARIÑO,7311449,edithgaviria@udenar.edu.co,,CARLOS OLARTE,rectoria@udenar.edu.co,,7313604,IGNACIO ERAZO,rectoria@udenar.edu.co,7315480
2023800531,HOSPITAL SAN ROQUE ESE,800119945,HOSPITAL SAN ROQUE ESE,1,,CALLE 10 # 23-37,SAN CARLOS,EL COPEY,CESAR,5255896,gerencia@hosanroque.gov.co,,YAJAIRA CENITH SAN JUAN RIOS,gerencia@hosanroque.gov.co,,5255896,FRED ALBERTO SILVA SIERRA,sistemas@hosanroque.gov.co,3002604827
6868400738,ESE HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS,800125276,ESE HOSPITAL NUESTRA SEÑORA DE LOS REMEDIOS,1,,CALLE 5 # 5-08,CENTRO,SAN JOSÉ DE MIRANDA,SANTANDER,6626006,hospitalmiranda@gmail.com,,JORGE ARMANDO TARAZONA,hospitalmiranda@gmail.com,,3204371777,BENJAMIN SUAREZ,hospitalmiranda@gmail.com,6626006
565206016,ESE HOSPITAL SAN FRANCISCO DE ASIS,800133887,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN FRANCISCO DE ASIS,1,James Brauer Escobar Gómez,CARRERA 10 # 9-09,N/A,SAN FRANCISCO,ANTIOQUIA,8323136-8323027,sfrahs01@edatel.net.co,,ELIZABETH SUAREZ GARCIA,sfrahs01@edatel.net.co,,8323136-8323027,DIOSER SALAZAR ,ADRILUDIOS@GMAIL.COM,3233639065
6369000502,ESE HOSPITALSAN VICENTE DE PAUL,800134339,ESE HOSPITALSAN VICENTE DE PAUL,1,BEATRIZ ELENA OCAMPO LONDOÑO,CARRERA 7 # 6-60,CENTRO,SALENTO,QUINDÍO,7593000,hospitalsalento@gmail.com,,DIANA PATRICIA MARTINEZ LOAIZA,hospitalsalento@gmail.com,,7593000,DIANA PATRICIA MARTINEZ LOAIZA,hospitalsalento@gmail.com,7593000
538005016,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,800138968,EMPRESA SOCIAL DEL ESTADO HOSPITAL LA ESTRELLA,1,MARTIN ALONSO MORA RENDON,CALLE 80 SUR # 53-89,PUEBLO VIEJO,LA ESTRELLA,ANTIOQUIA,3021010,infohospital@eselaestrella.gov.co,,CAMILO ALFONSO GONZALEZ,sistemas@eselaestrella.gov.co,,3021010,MARGARITA SANCHEZ,sistemas@eselaestrella.gov.co,3021010
7610901750,HOSPITAL SAN AGUSTIN EMPRESA SOCIAL DEL ESTADO,800155000,HOSPITAL SAN AGUSTIN EMPRESA SOCIAL DEL ESTADO,1,ABEL DARIO MARIN GALVIS,CORREGIMIENTO DE PUERTO MERIZALDE  CALLE 5 10-38 PISO 3,,BUENAVENTURA,VALLE DEL CAUCA,3155565758-3155565753,gerencia@hospitalsanagustin.gov.co,,WILLIAN VALENCIA,wivalencia_2415@hotmail.com,,3155565758-3155565753,DALMIRO SAA ,hosanamerizalde@hotmail.com,3155565758-3155565753
7637701768,HOSPITAL SANTA MARGARITA ESE,800160400,E.S.E. HOSPITAL SANTA MARGARITA,1,OLGA LUCIA AGUILAR VALENCIA,CARRERA 7 # 5-24,SANTA MARGARITA,LA CUMBRE,VALLE DEL CAUCA,2459200-3122867934,hospitalsantamargarita@hotmail.com,,MAURICIO ROJAS,gerencia@hospitalsantamargarita.gov.co,,3113442300,DANIEL ISAAC BARRIOS PINO,danielbarrios@live.com,5573055
7304301056,HOSPITAL SAN JUAN DE DIOS EMPRESA SOCIAL DEL ESTADO DEL MUNICIPIO DE ANZOATEGUI,800163519,HOSPITAL SAN JUAN DE DIOS EMPRESA SOCIAL DEL ESTADO DEL MUNICIPIO DE ANZOATEGUI,1,WILLIAM ARMANDO CASTILLA RUEDA,CARRERA 2 CALLE 5 ESQUINA,3 ESQUINAS,ANZOÁTEGUI,TOLIMA,2810200-2810152,hospianzoategui043@gmail.com,,JAIME EDUARDO RODRIGUEZ GIL,jaiedro@yahoo.es,,3219964077,GLORIA CONSUELO MONTES FAJARDO,gcmontes01@hotmail.com,3143917267
508804909,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,800174995,EMPRESA SOCIAL DEL ESTADO BELLO SALUD,1,,CALLE 54 # 56A-11  ,ROSALPI,BELLO,ANTIOQUIA,4547860,gestiondocumental@esebellosalud.gov.co,,JAVIER ALEJANDRO BEDOYA TORO,gerencia@esebellosalud.gov.co,,4547860 ext 102,ALEXANDER PIHEDRAITA,lidersuministros@esebellosalud.gov.co,
530604477,ESE HOSPITAL SAN ISIDRO,800193392,E.S.E. HOSPITAL SAN ISIDRO,1,GUSTAVO ADOLFOESPINOSA YEPES,CARRERA 10 # 11-05,,GIRALDO,ANTIOQUIA,8571325,ESEHOSPITALSANISIDRO@GMAIL.COM,,ALINA MARIA RIOS PALACIOS,ESEHOSPITALSANISIDRO@GMAIL.COM,,8571325,,,8571325
6805100703,E.S.E. HOSPITAL JUAN PABLO II ARATOCA,800193904,E.S.E. HOSPITAL JUAN PABLO II ARATOCA,1,MARIO ENRIQUE ARCE POSADA,AVENIDA EL RAMAL,,ARATOCA,SANTANDER,7266514,hospiaratoca@gmail.com,,LAURA ISABEL ESPAÑA MORENO ,hospiaratoca@gmail.com,,7266514,LUIS CARLOS RICO ,hospiaratoca@gmail.com,7266514
6814700710,ESE HOSPITAL SAN BARTOLOME DEL MUNICIPIO DE CAPITANEJO,800194328,ESE HOSPITAL SAN BARTOLOME DE CAPITANEJO,1,DARIO ELVIS CAMACHO NORIEGA,CARRERA 4 # 1- 05,LIBERTADORES,CAPITANEJO,SANTANDER,6600382 EXT 117,HOSPITALBARTOLOME@HOTMAIL.COM,,SONIA CASTELLANO CASTRO ,HOSPITALBARTOLOME@HOTMAIL.COM,,311881792,BENJAMIN SUAREZ RODRIUEZ,HOSPITALBARTOLOME@HOTMAIL.COM,3142984596
6809200708,ESE HOSPITAL SAN JUAN DE DIOS DE BETULIA,800212070,ESE Hospital San Juan de Dios de Betulia,1,OSCAR LEONARDO RONDON GALVIS,CALLE 11 CARRERA 6 ESQUINA,SAGRADO CORAZON ,BETULIA,SANTANDER,6259337 - 6259227,hospitalbetulia@gmail.com,,LISED TATIANA MARTINEZ MORENO,hospitalbetulia@gmail.com,,6259337,OSCAR JOSUE MELO SANABRIA,hospitalbetulia@gmail.com,6259337-3102080633
4485500391,ESE HOSPITAL SANTA CRUZ DE URAMITA,800213942,E.S.E. HOSPITAL SANTA CRUZ,1,CAMPO ELIAS LOPEZ TORRES,CARRERA 9 # 8-16 ,CENTRO,URUMITA,LA GUAJIRA,7778098-7778000,hosacruz@hotmail.com  ,hospital-santacruz12@hotmail.com,YADIRA BEATRIZ TABARES RODRIGUEZ,yabetar@hotmail.com,,3183213969,GERMAN BELLO,hosacruz@hotmail.com ,3008758385
1100102654,EMPRESA SOCIAL DEL ESTADO CENTRO DERMATOLOGICO FEDERICO LLERAS ACOSTA,800247350,EMPRESA SOCIAL DEL ESTADO CENTRO DERMATOLOGICO FEDERICO LLERAS ACOSTA,3,,AVENIDA 1 # 13A-61,SEVILLA,BOGOTÁ,CUNDINAMARCA,3779506 2428160,sec.direccion@dermatologia.gov.co,,CLAUDIA MARCELA ROJAS DAZA,direccion@dermatologia.gov.co,,3779506,JUAN CARLOS VASQUEZ,informatica@dermatologia.gov.co,
1548000506,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA ANA,800254850,EMPRESA SOCIAL DEL ESTADO HOSPITAL SANTA ANA,1,JESUS ERNESTO RAMIREZ AMAYA,CARRERA 6 # 7-80,SANTA ANA ,MUZO,BOYACÁ,987256060,esehospitalsantaana@yahoo.com,,LUIS HERNANDO SALAZAR MANRRIQUE ,esehospitalsantaana@yahoo.com,,3124576731,,,
6300100460,REDSALUD ARMENIA ESE,801001440,RED SALUD ARMENIA ESE UNIDAD INTERMEDIA DEL SUR,1,HERNANDO BEDOYA CASTAÑO,AVENIDA MONTECARLO URBANIZACION GUADUALES DE LA VILLA,GUADALES DE LA VILLA,ARMENIA,QUINDÍO,7371010,GERENCIA@REDSALUDARMENIA.GOV.CO,,MAGDA LUCIA CARVAJAL IRIARTE,GERENCIA@REDSALUDARMENIA.GOV.CO,,7371010 EXT 132,NESTOR IVAN VELOZ,SISTEMAS@REDSALUDARMENIA.GOV.CO,7371010 EXT 127
854900461,HOSPITAL VERA JUDITH IMITOLA VLLANUEVA E.S.E,802007650,HOSPITAL VERA JUDITH IMITOLA VLLANUEVA E.S.E,1,JESUS ANTONIO AREVALO RODRIGUEZ,CALLE 5 # 2 - 05,LAS PIÑUELAS ,PIOJÓ,ATLÁNTICO,3008998792,HOSPITALPIOJO@HOTMAIL.COM,,SONIA VILLANUEVA,SONYMAR11@HOTMAIL.COM ,,3006538579,CARLOS RODRIGUEZ,CERODRIGUEZ2007@HOTMAIL.COM,3167842247
884900119,ESE CENTRO DE SALUD USIACURI JOSE MARIA FEREZ FARAH,802009049,ESE CENTRO DE SALUD USIACURI JOSE MARIA FEREZ FARAH,1,,CARRERA 22 # 8C-47,LA FLORESTA,USIACURÍ,ATLÁNTICO,3205470900,HOSPITALUSIACURI@GMAIL.COM,,PEDRO DE JESUS VILLA PAYARE,LARESERVAPEDRO@HOTMAIL.COM,,3205470900,ALFREDO MARQUES,ALFREDOJOSE.13059@GMAIL.COM,3046574823
883200149,ESE CENTRO DE SALUD DE TUBARÁ,802009463,ESE CENTRO DE SALUD DE TUBARÁ,1,,CALLE 2 # 10-60,EL CENTRO,TUBARÁ,ATLÁNTICO,8737031,esecentrodesaluddetubara@hotmail.com  , urgencias.efe@hotmail.com,LUIS GERMAN PACHECO,esecentrodesaluddetubara@hotmail.com/,urgencias.efe@hotmail.com,8737031,ALEX GERONIMO FEJERA,esecentrodesaluddetubara@hotmail.com   urgencias.efe@hotmail.com,8737031
6810100709,EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL DE BOLIVAR,804003072,EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL DE BOLIVAR,1,GERMAN EDUARDO MARIN CARDENAS,CARRERA 3 # 3-194,LOS GUADUALES,BOLÍVAR,SANTANDER,7569019,hlocalbolivar@yahoo.es,,OLGA LETICIA MEDINA REMOLINA,hlocalbolivar@yahoo.es,,7569019,VICTOR PICO VELAZCO,hlocalbolivar@yahoo.es,7569019
6825500750,E.S.E. HOSPITAL SANTO DOMINGO SAVIO,804005555,E.S.E. HOSPITAL SANTO DOMINGO SAVIO,1,Lenny Paola Tolosa Diaz,CARRERA  5 # 13-34,CENTRO ,EL PLAYÓN,SANTANDER,3183437328 - 3167585574,esesantodomingosavio@gmail.com,,ROSA NATALIA CORREA GEBARA,esesantodomingosavio@gmail.com,,3183437328 - 3167585574,ROSA NATALIA CORREA GEBARA,esesantodomingosavio@gmail.com,3183437328 - 3167585574
6878000747,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN SEBASTIAN SURATA,804005751,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN SEBASTIAN SURATA,1,JAVIER ALONSO VILLAMIZAR SUAREZ,CARRERA 4 #. 1-06,EL PORTAL,SURATÁ,SANTANDER,3163933276,RAM112098@HOTMAIL.COM,,RICARDO ARMADO MENDONA  ,SANSEBASTIASURATA@GMAIL.COM,,3163933276,,,
6886700773,E.S.E CENTRO DE SALUD NUESTRA SEÑORA DEL CARMEN,804007078,E.S.E CENTRO DE SALUD NUESTRA SEÑORA DEL CARMEN,1,,KM 1 VIA AL VOLCAN MUNICIPIO DE VETAS,SECTOR SAN ANTONIO ,VETAS,SANTANDER,3214534948-3134671352,esevetas@gmail.com,,MAGDA LORENA VARGAS CONTRERAS ,gerenciaesevetas@gmail.com,,,MAGDA LORENA VARGAS CONTRERAS ,gerenciaesevetas@gmail.com,
6824500755,ESE CENTRO DE SALUD JUAN SOLERI,804007611,ESE CENTRO DE SALUD JUAN SOLERI,1,FARLEY YADIRA MOGOLLON CASTELLANOS,CALLE 6 # 3-13,CENTRO,EL GUACAMAYO,SANTANDER,3138501609,esejusoleri06@hotmail.com,,YENI PAOLA MEDINA,gerenciajsoleri2016@gmail.com,,3138501609,YOHANI VARGAS,esejusoleri06@hotmail.com,3138501609
6832200784,ESE SAN CAYETANO DE GUAPOTA,804007868,ESE SAN CAYETANO DE GUAPOTA,1,ANA MILENA GAONA ZAMBRANO,CALLE 2 # 1 - 55,,GUAPOTÁ,SANTANDER,2803092,esesancalletanoguapota@gamil.com,,YESICA TATIANA ARENAS DIAZ ,tatianarenasdiaz@gmail.com,,3204912600,LUZ MARINA AGUILAR RUGELES ,esesancalletanoguapota@gamil.com,3204312600
6870500788,ESE CENTRO DE SALUD SANTA BARBARA,804008273,ESE CENTRO DE SALUD SANTA BARBARA,1,,CARRERA 3 # 4-98,CENTRO,SANTA BÁRBARA,SANTANDER,3143340186-3143341399,e.s.esantabarbara@hotmail.com,,MARIA TERESA ORTIZ,mariatortiz08@gmail.com,,3143341399-3143340186,,,
6827100775,EMPRESA SOCIAL DEL ESTADO SAN JOSE DE FLORIAN,804008698,EMPRESA SOCIAL DEL ESTADO SAN JOSE DE FLORIAN,1,,CALLE 4 No. 3-06,CENTRO,FLORIÁN,SANTANDER,3114753347,YEPAPESA@GMAIL.COM,,YENY PAOLA PEÑA SANDIÑO, yepapesa@gmail.com,,3202693274,ALEXANDER LEON,alexanderleonm3@gmail.com,3197644274
6877300768,CENTRO DE SALUD SABANA GRANDE,804008746,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SUCRE,1,,,CENTRO,SUCRE,SANTANDER,3208466950 3203030628,hospitalsucre@hotmail.com,,JENNY ZULAY PINTO TOVAR,hospitalsucre@hotmail.com,,3124018692,RICARDO HERREÑO,hospitalsucre@hotmail.com,
6877300768,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SUCRE,804008746,EMPRESA SOCIAL DEL ESTADO CENTRO DE SALUD SUCRE,1,,CARRERA 4 CON CALLE 7,CENTRO,SUCRE,SANTANDER,3208466950 3203030628,hospitalsucre@hotmail.com,,JENNY ZULAY PINTO TOVAR,hospitalsucre@hotmail.com,,3124018692,RICARDO HERREÑO,hospitalsucre@hotmail.com,
6837700787,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN MARTIN,804008770,Empresa Social Del Estado Hospital San Martin,1,,CALLE 6 # 6-58,SAN FERNANDO ,LA BELLEZA,SANTANDER,7569849,hosp_sanmatir@hotmail.com,,JOSE LUIS MEDINA ROMERO ,j_lmedirom@hotmail.com,,3213086592,SERGIO ORLANDO MARIN ARIZA,serviv1@hotmail.com,3147142327
6816200748,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO CERRITO,804013228,EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN ANTONIO CERRITO,1,CARLOS ALBERTO ROMERO RAMIREZ,CALLE 6 # 5-30,SANTANDER ,CERRITO,SANTANDER,6602025 - 6602241,ese.hospitalcerrito@hotmail.com, ips_sanantonio@hotmail.com,SILVIA MARIBEL VARGAS CARVAJAL,ese.hospitalcerrito@hotmail.com, ips_sanantonio@hotmail.com,6602025 - 6602241,,,
6812100759,ESE CENTRO DE SALUD SAN PEDRO DE CABRERA,804014637,ESE CENTRO DE SALUD SAN PEDRO DE CABRERA,1,Óscar René Rangel Urrea,Calle 8 # 7-29,CABRERA,CABRERA,SANTANDER,3102951446-3112743047,esesanpedrocabrera@hotmail.com,,VELSI MALENA EGALADO MAVILLA,esesanpedrocabrera@hotmail.com,,3102951446,DARIO DIAZ,esesanpedrocabrera@hotmail.com,3102951446-3112743047
6826400754,E.S.E CENTRO DE SALUD ENCINO,804015007,E.S.E CENTRO DE SALUD ENCINO,1,,CARERRA 4 # 5 - 65,CENTRO,ENCINO,SANTANDER,3213725415,ESEENCINO@GMAIL.COM,,CARLOS IVAN GELVEZ,KNCONTADURIA@HOTMAIL.COM,,3006602166,PATRICIA MENDEZ DIA ,ESEENCINOGERENCIA@GMAIL.COM,3213725301
6854900770,ESE SAN ANTONIO DE PADUA DEL MUNICIPIO DE PINCHOTE,804015047,ESE SAN ANTONIO DE PADUA DEL MUNICIPIO DE PINCHOTE,1,LYDA XIOMARA GONZALEZ FERREIRA,CALLE 6 # 4-03,CENTRO,PINCHOTE,SANTANDER,7247197,gerencia@esehospitalpinchote.gov.co,,ERIKA JHOHANNA MACIAS ,esepinchotegerencia@gmail.com,,7247197 EXT 106,OSCAR MAURICIO  GOMEZ ,ofmago015@hotmail.com,3016389899
6849800761,EMPRESA SOCIAL DEL ESTADO DE OCAMONTE SANTANDER,804015127,Empresa Social del Estado de Ocamonte Santander,1,,CARRERA  3 CON CALLE 1 ESQ,MOSERRATE ,OCAMONTE,SANTANDER,7247545-3114751649,eseocamonte@gmail.com,,KATERINE PIDONIETA LOPEZ ,eseocamonte@gmail.com,,eseocamonte@gmail.com,MARIA DE  JESUS CALA RIOS ,eseocamonte@gmail.com,
6816000776,Empresa Social del Estado Cepita,804015655,Empresa Social del Estado Cepita,1,,CALLE 3 # 5-60,ENTRADA AL MUNICIPIO,CEPITÁ,SANTANDER,3118986984,esecepita@yahoo.es,,LUZ KAROL MARTINEZ, nihekakarol@hotmail.com,,3114563121,LUZ KAROL MARTINEZ, nihekakarol@hotmail.com,3114563121
6817900766,ESE DIVINO NIÑO JESUS,804016288,ESE DIVINO NIÑO JESUS,1,OSCAR ALBERTO GONZALEZ PEDRAZA,CALLE 3 # 6-20,EL CENTRO,CHIPATÁ,SANTANDER,3123357859,cesal68179@yahoo.es,,JACKELINE ARIZA PARDO,cesal68179@yahoo.es,,3123357859,JOSE GUILLERMO ARIZA,cesal68179@yahoo.es,3123357859
6823500749,E.S.E. HOSPITAL EL CARMEN,804016365,E.S.E. HOSPITAL EL CARMEN,1,TERRY ALEXANDER NIEVES CEPEDA,CARRERA 3 # 8-15,EL BOSQUE,EL CARMEN DE CHUCURÍ,SANTANDER,6140584-6140665,GERENCIA@ESEHOSPITALELCARMEN-SANTANDER.GOV.CO,,MARTHA CALA,GERENCIA@ESEHOSPITALELCARMEN-SANTANDER.GOV.CO,,6140584 EXT 102,JOSE DARIO MORENO,DARIO.MG2016@GMAIL.COM,6140584 EXT 101
6826600764,ESE HOSPITAL DE ENCISO,804017570,ESE HOSPITAL DE ENCISO,1,,CARERA 5 # 4-56,CENTRO,ENCISO,SANTANDER,6633012,ESEHOSPITALDEENCISO@GMAIL.COM,,NOHORA LYCETH LOPEZ IBAÑEZ,ESEHOSPITALDEENCISO@GMAIL.COM,,6633012,JASMIN DUARTE ALNDINO,JASMINDULAN@HOTMAIL.COM,3202815389
7600105115,HOSPITAL ISAIAS DUARTE CANCINO EMPRESA SOCIAL DEL ESTADO,805028530,HOSPITAL ISAIAS DUARTE CANCINO EMPRESA SOCIAL DEL ESTADO,2,ALEJANDRO VARELA VILLEGAS,CALLE 96 # 28-E3 - 01,MOJICA 2,CALI,VALLE DEL CAUCA,4140707,gerencia@hidc.gov.co,,SANDRA LILIANA VELASQUEZ,gerencia@hidc.gov.co,,4140707 EXT 133,RICHARD JAUEREGUI  ,sistemas@hidc.gov.co,4140707 EXT 108
