Departamento;Municipio;Código habilitacion;Nombre prestador;tido codigo;NIT;Razón social;clpr codigo;clpr nombre;ese;Direccion;telefono;fax;email;gerente;nivel;caracter;habilitado;fecha radicacion;fecha vencimiento;fecha cierre;dv;clase persona;naju codigo;naju nombre;numero sede principal;fecha corte REPS
Antioquia;CÁCERES;512005547;EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA;;890982430;EMPRESA SOCIAL DEL ESTADO HOSPITAL ISABEL LA CATOLICA;1;Instituciones - IPS;SI;KR 50 # 52-48;8362039;8362212;hospitalcaceres@gmail.com;JACINTO MÁRQUEZ GONZÁLEZ;1;MUNICIPAL;SI;20111006;20180130;;6;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CAICEDO;512508313;E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA;;800037244;E.S.E. HOSPITAL GUILLERMO GAVIRIA CORREA;1;Instituciones - IPS;SI;CRA 5 # 3-23;8572123;8572155;gerencia@hospitalcaicedo.gov.co;CARLOS ANDRES LONDOÑO VELEZ;1;MUNICIPAL;SI;20041102;20180130;;2;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CALDAS;512902146;ESE HOSPITAL SAN VICENTE DE PAÚL;;890907215;E.S.E. HOSPITAL SAN VICENTE DE PAÚL DE CALDAS;1;Instituciones - IPS;SI;Cra 48 No. 135 Sur - 41;094- 278 - 06 -00;2781826;hospv@medellín.insapt.net.co;ROBINSON DARIO BUSTAMANTE RESTREPO;2;DEPARTAMENTAL;SI;20030414;20190130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CAMPAMENTO;513405930;ESE HOSPITAL LA SAGRADA FAMILIA;;890985457;E.S.E. HOSPITAL LA SAGRADA FAMILIA;1;Instituciones - IPS;SI;CALLE BOLIVAR No. 15-07;094-8614112;8614112;camphs01@edatel.net.co;BLANCA OFELIA ARANGO VERGARA;1;MUNICIPAL;SI;20030415;20180130;;8;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CAÑASGORDAS;513804914;ESE HOSPITAL SAN CARLOS;;890980784;E.S.E. HOSPITAL SAN CARLOS;1;Instituciones - IPS;SI;KR 31 # 33 - 140;(4) 856 40 37   856 40 44 856;8564609;canahs01@edatel.net.coesehsc@edatel.net.co;TOMAS AUGUSTO OSPINA ROJO;1;MUNICIPAL;SI;20030414;20180130;;9;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CARACOLÍ;514204103;E.S.E. HOSPITAL SAN PIO X;;890981266;E.S.E. HOSPITAL SAN PIO X;1;Instituciones - IPS;SI;CL 21# 20-32;8336014;8336739;gerencia@esesanpioxcaracoli.gov.co;GERARDO ANTONIO PESCADOR DAVID;1;MUNICIPAL;SI;20061117;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CARAMANTA;514501585;ESE HOSPITAL SAN ANTONIO;;890981163;E.S.E. HOSPITAL SAN ANTONIO;1;Instituciones - IPS;SI;CARRERA 21 BOLIVAR #16-33;855 32 60;8553260;gerenciaesecaramanta@hotmail.com;FRANCISCO JAVIER GODOY GONZALEZ;1;MUNICIPAL;SI;20030411;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CAREPA;514706311;EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ;;800227877;EMPRESA SOCIAL DEL ESTADO HOSPITAL FRANCISCO LUIS JIMENEZ MARTINEZ;1;Instituciones - IPS;SI;CL 70 # 68 - 03;8236548;8236944;carehs01@gmail.com;RICARDO LUIS ARZUZA MENDOZA;1;MUNICIPAL;SI;20061117;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CAROLINA;515004584;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL;;890906344;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL;1;Instituciones - IPS;SI;CL 52 B # 54-70;8634045;8634045 EXT 34;carohs01@edatel.net.co;VICTOR JAVIER PUERTA DÍAZ;1;MUNICIPAL;SI;20061117;20180130;;7;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CAUCASIA;515402201;ESE HOSPITAL CESAR URIBE PIEDRAHITA;;890980757;ESE HOSPITAL CESAR URIBE PIEDRAHITA;1;Instituciones - IPS;SI;CL 31 KR 18 BARRIO EL PALMAR;8392161;8390426;gerencia@hcup.gov.co;ORLANDO JOSE RODRIGUEZ ALVAREZ;2;DEPARTAMENTAL;SI;20061117;20190130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CHIGORODÓ;517206305;EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA;;890980997;EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA AUXILIADORA;1;Instituciones - IPS;SI;KR 108A # 101A - 57;5748253191;5748253648 EXT 107;esechigorodo@edatel.net.co;DORIS EDILIA MEDINA OCHOA;1;MUNICIPAL;SI;20061117;20180130;;0;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CISNEROS;519005592;Empresa Social del Estado Hospital San Antonio;;890980444;Empresa Social del Estado Hospital San Antonio;1;Instituciones - IPS;SI;CL 18 # 17 - 105;8631847;8632306;cisnhs01@edatel.net.co;CLAUDIA LUCIA BARRERA AGUDELO;1;MUNICIPAL;SI;20110513;20180513;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CIUDAD BOLÍVAR;510102139;ESE HOSPITAL LA MERCED;;890907241;E.S.E. HOSPITAL LA MERCED DE CIUDAD BOLIVAR;1;Instituciones - IPS;SI;Calle 49 Nro 36-298;8411182;8411182 ext 159;gerencia@hlamerced.gov.co;MAURICIO ANTONIO TORO ZAPATA;2;MUNICIPAL;SI;20030414;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;COCORNÁ;519705593;ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA;;890981108;ESE HOSPITAL SAN JUAN DE DIOS DE COCORNA;1;Instituciones - IPS;SI;CL 21 # 23 45;8343685;8343403 Ext 118;gerencia@hospitaldecocorna.com;HECTOR ALONSO DUQUE ARISTIZABAL;1;MUNICIPAL;SI;20110722;20180722;;4;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CONCEPCIÓN;520604780;ESE HOSPITAL JOSE MARIA CORDOBA;;890980512;ESE HOSPITAL JOSE MARIA CORDOBA;1;Instituciones - IPS;SI;KR 19 # 19-83;8567024;8567157;hospitalconcepcion@gmail.com;BERNARDO ANTONIO BERNAL BOTERO;1;MUNICIPAL;SI;20110406;20180406;;2;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;CONCORDIA;520905819;ESE HOSPITAL SAN JUAN DE DIOS;;890907297;ESE HOSPITAL SAN JUAN DE DIOS;1;Instituciones - IPS;SI;Cra. 18 No. 16 - 05;844 77 24;8446606;hospitaldeconcordia@hospital-concordia.gov.co;SANTIAGO DE JESÚS CAICEDO RESTREPO;1;MUNICIPAL;SI;20030415;20180130;;3;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;COPACABANA;521202308;ESE HOSPITAL SANTA MARGARITA;;890980949;ESE HOSPITAL SANTA MARGARITA;1;Instituciones - IPS;SI;KR 45 # 52-26;57440000770 ext 176;5744549303;secregerencia@santamargarita.gov.co;HÉCTOR DARÍO CANO ARANGO;1;MUNICIPAL;SI;20030416;20180130;;7;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;DABEIBA;523402314;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO;;890984670;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL PERPETUO SOCORRO;1;Instituciones - IPS;SI;KR URIBE URIBE # 622;5748590045;5748590450;dabehs01@edatel.net.co;ANDREY FERNANDO DUQUE VALLE;1;MUNICIPAL;SI;20061117;20180130;;6;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;DON MATÍAS;523705948;ESE HOSPITAL FRANCISCO ELADIO BARRERA;;890905097;E.S.E. HOSPITAL FRANCISCO ELADIO BARRERA;1;Instituciones - IPS;SI;cra 36a 29 55;8663737;8663248;gerencia@hospitaldonmatias.gov.co;BEATRIZ ADIELA RESTREPO TAMAYO;1;MUNICIPAL;SI;20030423;20180130;;8;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;EBÉJICO;524003744;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL;;890982370;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN RAFAEL;1;Instituciones - IPS;SI;BRR VEREDA FATIMA;5748562681;5748563055;hospebejico@gmail.com;RAFAEL ANTONIO GRANDA PEREZ;1;MUNICIPAL;SI;20061117;20180130;;2;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;EL BAGRE;525002133;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN;;800138311;EMPRESA SOCIAL DEL ESTADO HOSPITAL NUESTRA SEÑORA DEL CARMEN;1;Instituciones - IPS;SI;CL 50 # 46D-37;5748372381;5748371166;bagrhs01@edatel.net.co;LEONARDO FONTALVO TAPIA;1;MUNICIPAL;SI;20030411;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;EL CARMEN DE VIBORAL;514804310;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS;;890907279;EMPRESA SOCIAL DEL ESTADO HOSPITAL SAN JUAN DE DIOS;1;Instituciones - IPS;SI;KR 31 # 19 - 58;5745434343;5745431666;gerencia@hospitalcarmenv.gov.co;SANDRA ELIZABET URIBE VELEZ;1;MUNICIPAL;SI;20070502;20180130;;0;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;EL SANTUARIO;569702427;ESE HOSPITAL SAN JUAN DE DIOS;;890980326;HOSPITAL SAN JUAN DE DIOS EL SANTUARIO;1;Instituciones - IPS;SI;CALLE 49 NRO 41 63;5460050;5460117;cadsant@hospitalelsantuario.gov.co;ALEX DUBIAN GIRALDO CANO;1;MUNICIPAL;SI;20030416;20190130;;9;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ENTRERRIOS;526402309;ESE HOSPITAL PRESBITERO EMIGDIO PALACIO;;890984779;ESE HOSPITAL PRESBITERO EMIGDIO PALACIO;1;Instituciones - IPS;SI;KR 13 # 10 - 36;5748670051;5748670051;entrhs01@edatel.net.co;ELIANA PATRICIA PALACIO TOBON;1;MUNICIPAL;SI;20061117;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ENVIGADO;526604910;E.S.E. HOSPITAL MANUEL URIBE ANGEL;;890906347;ESE HOSPITAL MANUEL URIBE ANGEL;1;Instituciones - IPS;SI;DG 31 # 36 A SUR 80;3394800;2704947;autorizaciones@hospitalmua.com.co;MARTHA LUCIA VELEZ ARANGO;3;MUNICIPAL;SI;20030414;20180130;;9;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ENVIGADO;526613996;INDER ENVIGADO;;811016337;INDER ENVIGADO;4;Objeto Social Diferente a la Prestación de Servicios de Salud;NO;KR 48 # 46 SUR 150;4482098;2709938;inder_me@une.net.co;GUDIELA RESTREPO URIBE;1;MUNICIPAL;SI;20150129;20190129;;9;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;ENVIGADO;526610924;INSTITUCION UNIVERSITARIA DE ENVIGADO;;811000278;INSTITUCION UNIVERSITARIA DE ENVIGADO;4;Objeto Social Diferente a la Prestación de Servicios de Salud;NO;KR 27B # 39A Sur 57;5743391010;;"margmari73ster@gmail.com;
dec_psicologia@iue.edu.co;
alvaro.ramirez@iue.edu.co";BLANCA LIBIA LONDOÑO ECHEVERRI;;MUNICIPAL;SI;20090827;20180130;;2;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;FREDONIA;528202171;ESE HOSPITAL DE SANTA LUCIA;;890980181;ESE HOSPITAL DE SANTA LUCIA;1;Instituciones - IPS;SI;CL 69 # 50-220 VEREDA EL EDEN;5748401101;5748401101;esefredonia@gmail.com;GABRIEL JAIME BETANCUR DUQUE;1;MUNICIPAL;SI;20061117;20180130;;8;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;FRONTINO;528402170;EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE;;890906991;EMPRESA SOCIAL DEL ESTADO HOSPITAL MARIA ANTONIA TORO DE ELEJALDE;1;Instituciones - IPS;SI;KR 27 # 31 - 38;5748595050;5748595050 EXT 127;hospifrontino@gmail.com;ALEX FERNANDO ALEGRIA GARCÍA;1;MUNICIPAL;SI;20061117;20180130;;2;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;GIRALDO;530604477;ESE HOSPITAL SAN ISIDRO;;800193392;E.S.E. HOSPITAL SAN ISIDRO;1;Instituciones - IPS;SI;CALLE SANTANDER;(4)8571325;8571325;girahs01@edatel.net.co;CARLOS ALBERTO CARDONA GUTIERREZ;1;MUNICIPAL;SI;20030411;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;GIRARDOTA;530806104;ESE HOSPITAL SAN RAFAEL;;890980727;E.S.E. HOSPITAL SAN RAFAEL;1;Instituciones - IPS;SI;Carrera 16 No. 11-011;0514052440 ext:115 102 113;4052380;"secretaria@hospitalgirardota.com;
calidad@hospitalgirardota.com";DIEGO ALFONSO MONTOYA GRAJALES;1;MUNICIPAL;SI;20030422;20180130;;9;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;GÓMEZ PLATA;531005015;ESE HOSPITAL SANTA ISABEL;;890902151;E.S.E. HOSPITAL SANTA ISABEL;1;Instituciones - IPS;SI;Carrera 52 48 47;94 862 79 64 94 862 76 31;8627742;gomehs01@edatel.net.co;LAURA CATALINA ROJO GONZALEZ;1;MUNICIPAL;SI;20030414;20180130;;4;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;GRANADA;531305109;ESE HOSPITAL PADRE CLEMENTE GIRALDO;;890981182;ESE HOSPITAL PADRE CLEMENTE GIRALDO;1;Instituciones - IPS;SI;CL 21 # 25-02;8320102 8320742;8320101;granhs01@gmail.com;VICTOR RAUL HOYOS HOYOS;1;MUNICIPAL;SI;20030414;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;GUADALUPE;531504586;ESE HOSPITAL NUESTRA SEÑORA DE GUADALUPE;;890981690;E.S.E. NUESTRA SEÑORA DE GUADALUPE;1;Instituciones - IPS;SI;KR 50 # 51-12;8616110;8616466;hospitalguadalupe@gmail.com;ORLANDO ANTONIO BARRIENTOS LOPERA;1;MUNICIPAL;SI;20030414;20180130;;1;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
Antioquia;GUARNE;531802436;ESE HOSPITAL NUESTRA SEÑORA DE LA CANDELARIA;;890981719;E.S.E. NUETRA SEÑORA DE LA CANDELARIA;1;Instituciones - IPS;SI;Carrera 52 No. 52-177;(054)551 13 13 - 576 70 90;5511313 Ext 102;gerencia@hospitallacandelaria.com;ASTRID BIBIANA CARVAJAL ZAPATA;1;MUNICIPAL;SI;20030416;20190130;;4;JURIDICO;4;Pública;1;Fecha corte REPS: Nov 20 2017 2:50PM
